,eof,ct_b,ct_string,ct_float,ct_int,comma,id,c_brckt,o_brckt,return,break,continue,opr_atr,idt_int,c_c_brckt,o_c_brckt,for,while,else,if,vec_in,oprlr_rel,ct_true,ct_false,oprlr_and,oprlr_or,oprl_not,opr_dm,opr_pm,idt_bool,idt_float,idt_string,idt_char,idt_void,const,eof
ITER_IF,,,,,,,,,,,,,,,,,,,,ITER_IF=if o_brckt EXPR_BOOL c_brckt o_c_brckt ALL_ITER c_c_brckt ITER_IF_R,,,,,,,,,,,,,,,,
ITER_IF_R,,,,,,,ITER_IF_R=epsilon,,,ITER_IF_R=epsilon,ITER_IF_R=epsilon,ITER_IF_R=epsilon,,ITER_IF_R=epsilon,ITER_IF_R=epsilon,,ITER_IF_R=epsilon,ITER_IF_R=epsilon,ITER_IF_R=else ITER_IF_RR,ITER_IF_R=epsilon,,,,,,,,,,ITER_IF_R=epsilon,ITER_IF_R=epsilon,ITER_IF_R=epsilon,ITER_IF_R=epsilon,,,
ITER_IF_RR,,,,,,,,,,,,,,,,ITER_IF_RR=o_c_brckt ALL_ITER c_c_brckt,,,,ITER_IF_RR=ITER_IF,,,,,,,,,,,,,,,,
ITER_WHILE,,,,,,,,,,,,,,,,,,ITER_WHILE=while o_brckt EXPR_BOOL o_brckt o_c_brckt ALL_ITER c_c_brckt,,,,,,,,,,,,,,,,,,
FOR_EXP_LIMITER,,,,,,,FOR_EXP_LIMITER=ID_OR_VEC OPRLR_REL EXPR_NUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITER_FOR,,,,,,,,,,,,,,,,,ITER_FOR=for o_brckt VAR_DCLR comma FOR_EXP_LIMITER comma ID_OR_VEC opr_atr EXPR_NUM c_brckt o_c_brckt ALL_ITER c_c_brckt,,,,,,,,,,,,,,,,,,,
ATTR_I,,,,,,,ATTR_I=id ATTR_IH,,,,,,,ATTR_I=idt_int id opr_atr EXPR_NUM,,,,,,,,,,,,,,,,,,,,,,
ATTR_IH,,,,,,,,,,,,,ATTR_IH=opr_atr EXPR_NUM,,,,,,,,,,,,,,,,,,,,,,,
ITER_CTRL,,,,,,,,,,ITER_CTRL=return,ITER_CTRL=break,ITER_CTRL=continue,,,,,,,,,,,,,,,,,,,,,,,,
FN_CALL,,,,,,,FN_CALL=id FN_CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_CH,,,,,,,,,FN_CH=o_brckt FN_CHP,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_CHP,,FN_CHP=FN_PR c_brckt,FN_CHP=FN_PR c_brckt,FN_CHP=FN_PR c_brckt,FN_CHP=FN_PR c_brckt,,FN_CHP=FN_PR c_brckt,FN_CHP=c_brckt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_PR,,FN_PR=CN_TP FN_PRE,FN_PR=CN_TP FN_PRE,FN_PR=CN_TP FN_PRE,FN_PR=CN_TP FN_PRE,,FN_PR=id FN_PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_PRE,,,,,,,FN_PRE=id comma FN_PR,FN_PRE=epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN_TP,,CN_TP=ct_b,CN_TP=ct_string,CN_TP=ct_float,CN_TP=ct_int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
